CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Lodgian Management Corp.||||0011I00000cJXb3QAG|||North American|SE||||Inactive||
Pride Management Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXb4QAG|||North American|SoCent||||Active|99.986|
Wintime Limited|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXb5QAG|||North American|West||||Active|99.784|
Jacksonville JTB, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXb6QAG|||North American|SE||||Active|99.06B|
Luckey's Management, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXb7QAG|||North American|SE||||Active|99.50A|
Anderson Hospitality Group, LLC|Manager(F),Franchisee(F)|||0011I00000cJXb8QAG|||North American|MW||||Active|99.17C|
GF Hotels & Resorts|Manager(F),Asset Manager(M),Franchisee(F),Owner(F),Owner(M)|||0011I00000cJXb9QAG|||North American|MidAtl||||Active|98.052|99.666
Physician and Hospital Practices, Inc.||||0011I00000cJXbAQAW|||North American|MW||||Inactive||
Parks Hospitality Group|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbBQAW|||North American|MidAtl||||Active|99.11C|
Whitman Peterson|Franchisee(F),Owner(F),Major Investor(F)|||0011I00000cJXbCQAW|||North American|West||||Active|99.18C|
Rockwood Capital, LLC|Owner(M)|||0011I00000cJXbDQAW|||Both NALO and INTL|NE||||Active|98.334|
MSS of Wichita, L.L.C.||||0011I00000cJXbEQAW|||North American|MW||||Inactive||
Fillmore Capital Partners|Franchisee(F),Owner(F)|||0011I00000cJXbFQAW|||North American|West||||Active|99.96D|
Mahavir Enterprises, LLC|Franchisee(F),Owner(F)|||0011I00000cJXbGQAW|||North American|MW||||Active|99.304|
North Point Hospitality Group, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbHQAW|||North American|SE||||Active|99.550|
Magna Hospitality Group, L.C.|Owner(F),Manager(F),Franchisee(F)|||0011I00000cJXbIQAW|||North American|NE||||Active|99.67A|
Sunway Hospitality|Manager(F)|||0011I00000cJXbJQAW|||North American|MW||||Active|99.9G17|
Driftwood Hospitality Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbKQAW|||North American|SE||||Active|99.075|
Mt. Rainier Administration Trust|Franchisee(F),Owner(F)|||0011I00000cJXbLQAW|||North American|West||||Active|99.1X7|
