prop_id,prop_nm,MARSHA_TXT,PROP_STATUS_TXT,OPS_REGION_TXT,NALO_INTL_TXT,brand_txt,hotel_type_txt,OWNER_TYPE_TXT,DUD_DIVISION_CD,DUD_UNIT_CD,DUD_DEPT_CD,PEOPLESOFT_ID_DIVISION,PEOPLESOFT_ID_UNIT,PEOPLESOFT_ID_DEPT,PROP_MGR_TXT,PROP_OWNER_TXT,PROP_FRAN_TXT,PROP_AM_TXT
a1W1I000000aXTXUA2,Fairfield Inn & Suites Livermore,SFOLV,Pre-Opening,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJScgQAG,0011I00000cJXxMQAW,0011I00000cJXxMQAW,
a1W1I000000aXU4UAM,SpringHill Suites By Marriott Fort Wayne Southwest,FWASO,Pre-Opening,West,NALO,SpringHill Suites By Marriott,MSB,F,,,,,,,0011I00000cJXoxQAG,0011I00000cJXoxQAG,0011I00000cJXoxQAG,
a1W1I000000aXU5UAM,SpringHill Suites By Marriott Kenosha,MKESK,Open,West,NALO,SpringHill Suites By Marriott,MSB,F,,,,,,,0011I00000cJXqWQAW,0011I00000cJXqWQAW,0011I00000cJXqWQAW,
a1W1I000000aXUdUAM,AC Hotel By Marriott Nashville Brentwood,BNAAB,Pre-Opening,East,NALO,AC Hotels By Marriott,MSB,F,,,,,,,0011I00000cJXUaQAO,0011I00000cJXUaQAO,0011I00000cJXUaQAO,
a1W1I000000aXPeUAM,Fairfield Inn & Suites San Jose North/Silicon Valley,SJCNS,Open,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXX6QAO,0011I00000cJXbSQAW,0011I00000cJXbSQAW,
a1W1I000000aXQDUA2,Residence Inn By Marriott Seattle South/Renton,SEARR,Open,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXmdQAG,0011I00000cJXmdQAG,0011I00000cJXmdQAG,
a1W1I000000aXQnUAM,"Grand Bohemian Hotel Charlotte, Autograph Collection",CLTAK,Open,East,NALO,Autograph Collection,FS,F,,,,,,,0011I00000cJXVpQAO,0011I00000cJXVpQAO,0011I00000cJXVpQAO,
a1W1I000000aXQoUAM,AC Hotel By Marriott Columbus Downtown,CMHAD,Pre-Opening,West,NALO,AC Hotels By Marriott,MSB,F,,,,,,,0011I00000cJXnJQAW,0011I00000cJXnJQAW,0011I00000cJXnJQAW,
a1W1I000000aXRMUA2,Moxy Minneapolis Downtown,MSPOD,Open,West,NALO,MOXY Hotels,MSB,F,,,,,,,0011I00000cJXWJQA4,0011I00000cJWhAQAW,0011I00000cJWhAQAW,
a1W1I000000aXRNUA2,Residence Inn By Marriott Long Island Jericho,NYCJR,Pre-Opening,East,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJWUiQAO,0011I00000cJWUiQAO,0011I00000cJWUiQAO,
